ID Ah Am  RAs  Ed Em  DEs   Vmag    U-B    B-V    V-I    e_    e_    e_    e_ _ _ _ _ mb n_ 2MASS
 113 10 43 01.9 -59 44 48.8 18.821                2.940 0.022             0.023 3 0 0 3       10430186-5944487
 114 10 43 01.9 -59 47 45.1 18.671         1.053  1.384 0.018       0.068 0.026 3 0 2 3
 115 10 43 02.0 -59 46 04.5 18.131         1.017  1.285 0.010       0.043 0.014 3 0 2 3       10430197-5946046
 116 10 43 02.1 -59 35 41.6 17.970         1.231  1.360 0.010       0.043 0.012 3 0 2 3       10430212-5935414
 117 10 43 02.2 -59 42 50.3 18.106                3.509 0.013             0.013 3 0 0 3       10430221-5942503
 118 10 43 02.2 -59 34 44.3 17.609         0.947  1.113 0.009       0.023 0.010 3 0 2 3       10430222-5934439
 119 10 43 02.2 -59 40 52.6 14.142 -0.057  0.491  0.582 0.004 0.019 0.006 0.006 5 1 3 5       10430223-5940524
 120 10 43 02.2 -59 49 25.7 16.262         0.739  0.893 0.005       0.008 0.008 5 0 3 5       10430218-5949260
 121 10 43 02.3 -59 45 53.0 14.732  0.123  0.687  0.761 0.002 0.039 0.007 0.003 5 1 3 5    X  10430224-5945530
 122 10 43 02.3 -59 35 13.9 15.402  0.061  0.664  0.793 0.003 0.065 0.006 0.004 5 1 3 5       10430233-5935135
 123 10 43 02.4 -59 42 16.5 18.830         1.112  1.795 0.057       0.086 0.059 3 0 2 3
 124 10 43 02.4 -59 45 31.3 18.004         1.453  1.619 0.014       0.064 0.015 3 0 2 3       10430243-5945312
 125 10 43 02.5 -59 41 20.8 17.618         1.093  1.840 0.010       0.027 0.010 3 0 2 3       10430250-5941208
 126 10 43 02.5 -59 46 33.4 17.921         1.572  2.330 0.014       0.059 0.015 3 0 2 3       10430247-5946334
 127 10 43 02.5 -59 48 12.5 17.421         0.721  1.086 0.008       0.017 0.015 4 0 2 4
 128 10 43 02.6 -59 32 37.5 14.920  0.038  0.691  0.785 0.004 0.036 0.006 0.004 5 1 3 5       10430256-5932372
 129 10 43 02.6 -59 38 10.8 15.933         0.936  1.107 0.009       0.011 0.010 5 0 3 5       10430262-5938106
 130 10 43 02.7 -59 47 11.5 18.830         1.003  1.324 0.018       0.067 0.026 3 0 2 3       10430272-5947113
